spam,text
1,urgent we are tri to contact you last weekend draw show that you have won a  prize guarante call  claim code  valid  onli
1,urgent your mobil number has been award with a  prize guarante call  from land line claim  valid  onli 
0,pass dis to all ur contact n see wat u get redim in luv wid u blueu put a smile on my face purpleu r reali hot pinku r so swt orangei thnk i lyk u greeni reali wana go out wid u yelowi wnt u bck blackim jealous of u browni miss you nw plz giv me one color
0,bring tat cd don forget
0,joy father is john then john is the name of joy father mandan
0,the world suffer a lot not becaus of the violenc of bad peopl but becaus of the silenc of good peopl gud night
0,goodmorn today i am late for  ltgt min
0,im at home pleas call
1,hungri gay guy feel hungri and up  it now call  just  to stop text call  
0,ron say fri leh n he said ding tai feng cant make reserv but he said wait lor
0,k ill call you when im close
0,actual im wait for  week when they start put ad
0,babe  how goe that day  what are you do  where are you  i sip my cappuccino and think of you my love  i send a kiss to you from across the sea
0,she said do u mind if i go into the bedroom for a minut   ok i sed in a sexi mood she came out  minut latr wid a caken my wife
0,zoe it just hit me  im fuck shitin myself il defo tri my hardest  cum  luv u million lekdog
0,i not busi juz dun wan  go so earli hee 
0,kkapo kgood movi
0,ask do u knw them or nt may be ur frnds or classmat
0,no messageno responcewhat happend
0,your right i have now that i think about it
0,eh sorri leh i din c ur msg not sad alreadi lar me watch tv now u still in offic
0,sorri ill call later
0,watch tv now i got new job 
0,oh yeah clear it my fault
0,k want us to come by now
0,never blame a day in ur life good day give u happi bad day give u experi both are essenti in life all are god bless good morn
0,this pay is  ltdecimalgt  lakh
1,natali  is invit you to be her friend repli  or  see her  stop send stop frnd to 
0,do u hav ani frnd by name ashwini in ur colleg
0,dude im no longer a pisc im an aquarius now
0,aight sound good when do you want me to come down
0,ever green quot ever told by jerri in cartoon a person who irrit u alway is the one who love u vri much but fail to express it   gud nyt
0,uh head up we dont have that much left
0,mani time we lose our best one bcoz we are 
0,first answer my question
0,yeah like if it goe like it did with my friend imma flip my shit in like half an hour
0,oop sorri just to check that you dont mind pick me up tomo at half eight from station would that be ok
0, am on a train back from northampton so im afraid not
0,wrong phone this phone i answer this one but assum the other is peopl i dont well
0,we will meet soon princess ttyl
1,for ur chanc to win  cash everi wk txt play to  tscs  custcar  
0,hey veri inconveni for your sis a not huh
0,when can  come out
0,when you and derek done with class
0,ive told you everyth will stop just dont let her get dehydr
0,arun can u transfr me d amt
0,do i i thought i put it back in the box
0,hmmm guess we can go  kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao
0,i am in hospit da  i will return home in even
0,usf i guess might as well take  car
0,yup no more alreadi thanx  print n hand it up
0,he say hi and to get your ass back to south tampa prefer at a kegger
0,sir goodmorn onc free call me
1,hi babe it chloe how r u i was smash on saturday night it was great how was your weekend u been miss me sp visionsmscom text stop to stop 
0,are you wet right now
0,mmmmm  i love wake to your word this morn  i miss you too my love i hope your day goe well and you are happi i wait for us to be togeth again
0,aight fuck it ill get it later
0,all day work dayexcept saturday and sunday
0,you still come tonight
0,great i shoot big load so get readi
0,can not use foreign stamp in this countri good lectur 
0,ill get there at  unless you guy want me to come some time sooner
0,no but well do medic mission to nigeria
0,mark work tomorrow he get out at  his work is by your hous so he can meet u afterward
1,hello from orang for  month free access to game news and sport plus  free text and  photo messag repli yes term appli 
0,k so am i how much for an  fifti
0,even u dont get in troubl while convincingjust tel him onc or twice and just tel neglect his msgs dont c and read itjust dont repli
0,good good billi mate all gone just been jog again did enjoy concert
0,i wont touch you with out your permiss
1,thank for your rington order refer number  mobil will be charg  should your tone not arriv pleas call custom servic 
1,doubl min  doubl txt   price linerent on latest orang bluetooth mobil call  for the veri latest offer  or 
0,havent plan to buy later i check alreadi lido onli got  show in e afternoon u finish work alreadi
0,best line said in love  i will wait till the day i can forget u or the day u realiz that u cannot forget me gn
0,when you are big god will bring success
0,i cant keep go through this it was never my intent to run you out but if you choos to do that rather than keep the room clean so i dont have to say no to visitor then mayb that the best choic yes i want you to be embarass so mayb youd feel for onc how i feel when i have a friend who want to drop buy and i have to say no as happen this morn ive tri everyth i dont know what els to do
0,on a tuesday night r u  real
0,crucifi is c not s you should have told me earlier
0,do u noe how  send file between  comput
0,so gd got free ice cream i oso wan
0,dunno lei he neva say
0,we can go  e normal pilat after our intro  
0,tmrw im finish  door
0,sorri man my account dri or i would if you want we could trade back half or i could buy some shit with my credit card
0,hey iouri gave me your number im wyli ryan friend
0,si will take mokka player onli
0,aight text me tonight and well see what up
0,i will be gentl babi soon you will be take all  ltgt  inch deep insid your tight pussi
0,be sure to check your yahoo email we sent photo yesterday
0,dear reliev of westonzoyland all go to plan this end too
0,valuabl affection loveabl etern nobl truth intim natur enam happi valentin day in advanc
0,i want to go to perumbavoor
0,happi new year princess
0,hiya sorri didnt hav signal i havent seen or heard from and neither has which is unusu in itself ill put on the case and get him to sort it out hug and snog
0,hey what are you do y no repli pa
0,pleas dont say like that hi hi hi
0,hey u still at the gym
0,sound great im go to sleep now have a good night
0,are you up for the challeng i know i am 
0,his bday real is in april 
0,draw vai dont think so
0,no problem we will be spend a lot of qualiti time togeth
0,kaiez enjoy ur tuition gee thk e second option sound beta ill go yan jiu den msg u
0,yup bath liao
0,im not she lip sync with shangela
0,guy no flash me now if you go call me call me how madam take care oh
0,k come to nordstrom when your done
0,yeah that fine it  to get in is that ok 
0,just see your miss call my dear brother do have a  day
0,might ax well im there
0,im realli not up to it still tonight babe
0,hey a guy i know is breath down my neck to get him some bud anyway youd be abl to get a half track to usf tonight
0,shit babe thasa bit mess upyeh she shudvetold u did urgran knowneway illspeak   wen im not asleep
1,sorri i miss your call let talk when you have the time im on 
0,realli dun bluff me leh u sleep earli too nite
0,he said that he had a right giggl when he saw u again you would possibl be the first  from nvq but think how much you could for 
0,mayb westshor or hyde park villag the place near my hous
0,joy father is john then john is the  of joy father if u an ths you hav  ltgt  iq tis s ia question tri to answer
0,can you just come in for a sec there somebodi here i want you to see
0,yes we were outsid for like  hour and i call my whole famili to wake them up caus it start at  am
0,what will we do in the shower babi
1,wow the boy r back take that  uk tour win vip ticket  prebook with vip club txt club to  trackmarqu ltd 
0,wifehow she knew the time of murder exact
0,mmmmmm  i love youso much ahmad  i cant wait for this year to begin as everi second take me closer to be at your side happi new year my love
0,no but we found a diff farm shop to buy some chees on way back now can i call in
0,watch tv now i got new job 
0,i dunno lei like dun haf
1,bank of granit issu strongbuy explos pick for our member up over   nasdaq symbol cdgt that is a  per
0,are you drive or train
0,im serious you are in the money base
0,not sure yet still tri to get a hold of him
0,oh yah we never cancel leh haha 
0,would me smoke you out help us work through this difficult time
0,aiyo u alway c our ex one i dunno abt mei she haven repli first time u repli so fast y so lucki not workin huh got bao by ur sugardad ahge 
1,pdatenow  doubl min and  txts on orang tariff latest motorola sonyericsson  nokia  bluetooth free call  on  or 
0,yup anyth lor if u dun wan it ok
0,i did one slice and one breadstick lol
0,i am go to sleep i am tire of travel
0,esplanad lor where els
0,havent mus ask if u can  wat of meet  lunch den u n him meet can alreadi lor or u wan  go ask da ge  then confirm w me asap
0,great princess i love give and receiv oral doggi style is my fave posit how about you i enjoy make love  ltgt  time per night 
0,i felt sonot ani convey reason ese he what about me
0,hm good morn headach anyon 
0,i have no idea where you are
0,dont worri i guess hes busi
0,revers is cheat that is not mathemat
0,u come back  dinner rite dad ask me so i re confirm wif u
0,no prob hon how u doinat the mo
0,you are not bother me but you have to trust my answer pls
0,cheer u tex mecaus u werebor yeah okden hunni r uin wk satsound likeyour havin  j keep updat countinlot of lovem xxxxx
0,my superior tell that friday is leav for all other depart except oursso it will be leav for youani way call wahe fathima hr and conform it
0,it realli get me down just hang around
0,er mw im fill tuth is aight
0,you are a great role model you are give so much and i realli wish each day for a miracl but god as a reason for everyth and i must say i wish i knew whi but i dont ive look up to you sinc i was young and i still do have a great day
0,u r too much close to my heart if u go away i will be shatter plz stay with me
0,noit ful of song lyric
0,not realli dude have no friend im afraid 
